path,classification,wp_status,wp_final_url,wp_canonical_path,clone_status,clone_final_url,clone_canonical_path,clone_noindex,redirect_chain_length,suggested_redirect_target
/abcs-of-new-diagnosis,ok,200,https://nlmsf.org/abcs-of-new-diagnosis/,/abcs-of-new-diagnosis,200,https://nlmsf-clone.netlify.app/abcs-of-new-diagnosis/,,no,2,
/about,redirected_path_change,404,https://nlmsf.org/about,,200,https://nlmsf-clone.netlify.app/mission/,,no,4,/mission
/about-us,redirected_path_change,404,https://nlmsf.org/about-us,,200,https://nlmsf-clone.netlify.app/mission/,,no,4,/mission
/accountability-reports,ok,200,https://nlmsf.org/accountability-reports/,/accountability-reports,200,https://nlmsf-clone.netlify.app/accountability-reports/,,no,2,
/accountability-reports-hub,ok,200,https://nlmsf.org/accountability-reports-hub/,/accountability-reports-hub,200,https://nlmsf-clone.netlify.app/accountability-reports-hub/,,no,2,
/accountability-reports/2023,redirected_path_change,200,https://nlmsf.org/accountability-reports/,/accountability-reports,200,https://nlmsf-clone.netlify.app/2023-accountability-report/,,no,4,/2023-accountability-report
/accountability-reports/2023/summary.pdf,missing_on_clone,404,https://nlmsf.org/accountability-reports/2023/summary.pdf,,404,https://nlmsf-clone.netlify.app/accountability-reports/2023/summary.pdf,,yes,1,
/accountability-reports/2024,redirected_path_change,200,https://nlmsf.org/accountability-reports/,/accountability-reports,200,https://nlmsf-clone.netlify.app/accountability-reports/,,no,4,/accountability-reports
/accountability-reports/2024/summary.pdf,missing_on_clone,404,https://nlmsf.org/accountability-reports/2024/summary.pdf,,404,https://nlmsf-clone.netlify.app/accountability-reports/2024/summary.pdf,,yes,1,
/advance-care-planning,ok,200,https://nlmsf.org/advance-care-planning/,/advance-care-planning,200,https://nlmsf-clone.netlify.app/advance-care-planning/,,no,2,
/advocacy,redirected_path_change,404,https://nlmsf.org/advocacy,,200,https://nlmsf-clone.netlify.app/patient-caregiver-advocacy/,,no,4,/patient-caregiver-advocacy
/after-treatment,ok,200,https://nlmsf.org/after-treatment/,/after-treatment,200,https://nlmsf-clone.netlify.app/after-treatment/,,no,2,
/andria-barnes-ruth,redirected_path_change,200,https://nlmsf.org/andria-barnes-ruth/,/andria-barnes-ruth,200,https://nlmsf-clone.netlify.app/andria-barnes-ruth-tribute-page/,,no,4,/andria-barnes-ruth-tribute-page
/andria-barnes-ruth-tribute-page,ok,200,https://nlmsf.org/andria-barnes-ruth-tribute-page/,/andria-barnes-ruth-tribute-page,200,https://nlmsf-clone.netlify.app/andria-barnes-ruth-tribute-page/,,no,2,
/anna-marmo,redirected_path_change,200,https://nlmsf.org/anna-marmo/,/anna-marmo,200,https://nlmsf-clone.netlify.app/anna-marmo-tribute-page/,,no,4,/anna-marmo-tribute-page
/anna-marmo-memorial-fund,missing_on_clone,404,https://nlmsf.org/anna-marmo-memorial-fund,,404,https://nlmsf-clone.netlify.app/anna-marmo-memorial-fund/,,yes,2,
/anna-marmo-tribute-page,ok,200,https://nlmsf.org/anna-marmo-tribute-page/,/anna-marmo-tribute-page,200,https://nlmsf-clone.netlify.app/anna-marmo-tribute-page/,,no,2,
/annual-reports,redirected_path_change,200,https://nlmsf.org/annual-reports/,/annual-reports,200,https://nlmsf-clone.netlify.app/accountability-reports/,,no,4,/accountability-reports
/author/admin,redirected_path_change,200,https://nlmsf.org/author/admin/,/author/admin,200,https://nlmsf-clone.netlify.app/,,no,3,/
/author/admin/page/2,missing_on_clone,200,https://nlmsf.org/author/admin/page/2/,/author/admin/page/2,404,https://nlmsf-clone.netlify.app/author/admin/page/2/,,yes,2,
/author/chris,redirected_path_change,200,https://nlmsf.org/author/chris/,/author/chris,200,https://nlmsf-clone.netlify.app/,,no,3,/
/author/randa,redirected_path_change,200,https://nlmsf.org/author/randa/,/author/randa,200,https://nlmsf-clone.netlify.app/,,no,3,/
/barbara-esther-olson,redirected_path_change,200,https://nlmsf.org/barbara-esther-olson/,/barbara-esther-olson,200,https://nlmsf-clone.netlify.app/barbara-esther-olson-tribute-page/,,no,4,/barbara-esther-olson-tribute-page
/barbara-esther-olson-tribute-page,ok,200,https://nlmsf.org/barbara-esther-olson-tribute-page/,/barbara-esther-olson-tribute-page,200,https://nlmsf-clone.netlify.app/barbara-esther-olson-tribute-page/,,no,2,
/barbara-lynn-davis,redirected_path_change,200,https://nlmsf.org/barbara-lynn-davis/,/barbara-lynn-davis,200,https://nlmsf-clone.netlify.app/barbara-lynn-davis-tribute-page/,,no,4,/barbara-lynn-davis-tribute-page
/barbara-lynn-davis-tribute-page,ok,200,https://nlmsf.org/barbara-lynn-davis-tribute-page/,/barbara-lynn-davis-tribute-page,200,https://nlmsf-clone.netlify.app/barbara-lynn-davis-tribute-page/,,no,2,
/be-a-successful-caregiver-advocate,ok,200,https://nlmsf.org/be-a-successful-caregiver-advocate/,/be-a-successful-caregiver-advocate,200,https://nlmsf-clone.netlify.app/be-a-successful-caregiver-advocate/,,no,2,
/board-members,redirected_path_change,404,https://nlmsf.org/board-members,,200,https://nlmsf-clone.netlify.app/our-board/,,no,4,/our-board
/buddy-program,redirected_path_change,404,https://nlmsf.org/buddy-program,,200,https://nlmsf-clone.netlify.app/leiomyosarcoma-support-group/,,no,4,/leiomyosarcoma-support-group
